Time,Temp,Well,CloneID,Rep,Active,Tun,Dead,Total,timeAtAmb,deltaActive
0,25,A1,2.4,a,24,19,4,43,1,0
0,25,A2,2.5,a,15,8,22,23,2,0
0,25,A3,1.2,a,34,7,0,41,3,0
0,25,A4,2.3,a,14,10,7,24,4,0
0,25,A5,2.5,b,25,12,16,37,5,0
0,25,A6,1.7,a,19,12,57,31,6,0
0,25,B1,2.3,b,31,6,8,37,7,0
0,25,B2,1.5,a,36,2,4,38,8,0
0,25,B3,1.2,b,21,2,2,23,9,0
0,25,B4,2.5,c,25,7,26,32,10,0
0,25,B5,1.7,b,27,7,45,34,11,0
0,25,B6,1.5,b,28,2,9,30,12,0
0,25,C1,1.7,c,30,15,27,45,13,0
0,25,C2,1.2,c,21,2,4,23,14,0
0,25,C3,2.4,b,30,13,6,43,15,0
0,25,C4,1.5,c,30,6,6,36,16,0
0,25,C5,1.7,d,23,11,52,34,17,0
0,25,C6,2.3,c,27,7,7,34,18,0
0,25,D1,2.3,d,33,6,7,39,19,0
0,25,D2,1.5,d,23,2,3,25,20,0
0,25,D3,2.4,c,17,18,0,35,21,0
0,25,D4,2.5,d,29,13,12,42,22,0
0,25,D5,1.2,d,22,6,0,28,23,0
0,25,D6,2.4,d,35,10,4,45,24,0
30,27.5,A1,2.4,a,25,11,2,,1,1
30,27.5,A2,2.5,a,13,15,13,,2,-2
30,27.5,A3,1.2,a,15,6,1,,3,-19
30,27.5,A4,2.3,a,18,6,6,,4,4
30,27.5,A5,2.5,b,22,7,10,,5,-3
30,27.5,A6,1.7,a,22,8,18,,6,3
30,27.5,B1,2.3,b,29,,,,7,-2
30,27.5,B2,1.5,a,25,,,,8,-11
30,27.5,B3,1.2,b,15,,,,9,-6
30,27.5,B4,2.5,c,23,,,,10,-2
30,27.5,B5,1.7,b,26,,,,11,-1
30,27.5,B6,1.5,b,17,,,,12,-11
30,27.5,C1,1.7,c,27,,,,13,-3
30,27.5,C2,1.2,c,11,,,,14,-10
30,27.5,C3,2.4,b,31,,,,15,1
30,27.5,C4,1.5,c,21,,,,16,-9
30,27.5,C5,1.7,d,23,,,,17,0
30,27.5,C6,2.3,c,17,,,,18,-10
30,27.5,D1,2.3,d,33,,,,19,0
30,27.5,D2,1.5,d,12,,,,20,-11
30,27.5,D3,2.4,c,13,,,,21,-4
30,27.5,D4,2.5,d,31,,,,22,2
30,27.5,D5,1.2,d,13,,,,23,-9
30,27.5,D6,2.4,d,37,,,,24,2
60,30,A1,2.4,a,17,,,,1,-7
60,30,A2,2.5,a,8,,,,2,-7
60,30,A3,1.2,a,18,,,,3,-16
60,30,A4,2.3,a,16,,,,4,2
60,30,A5,2.5,b,15,,,,5,-10
60,30,A6,1.7,a,20,,,,6,1
60,30,B1,2.3,b,28,,,,7,-3
60,30,B2,1.5,a,27,,,,8,-9
60,30,B3,1.2,b,14,,,,9,-7
60,30,B4,2.5,c,19,,,,10,-6
60,30,B5,1.7,b,20,,,,11,-7
60,30,B6,1.5,b,19,,,,12,-9
60,30,C1,1.7,c,21,,,,13,-9
60,30,C2,1.2,c,10,,,,14,-11
60,30,C3,2.4,b,26,,,,15,-4
60,30,C4,1.5,c,26,,,,16,-4
60,30,C5,1.7,d,22,,,,17,-1
60,30,C6,2.3,c,20,,,,18,-7
60,30,D1,2.3,d,23,,,,19,-10
60,30,D2,1.5,d,19,,,,20,-4
60,30,D3,2.4,c,19,,,,21,2
60,30,D4,2.5,d,31,,,,22,2
60,30,D5,1.2,d,24,,,,23,2
60,30,D6,2.4,d,34,,,,24,-1
90,35,A1,2.4,a,14,,,,1,-10
90,35,A2,2.5,a,3,,,,2,-12
90,35,A3,1.2,a,18,,,,3,-16
90,35,A4,2.3,a,8,,,,4,-6
90,35,A5,2.5,b,7,,,,5,-18
90,35,A6,1.7,a,15,,,,6,-4
90,35,B1,2.3,b,17,,,,7,-14
90,35,B2,1.5,a,26,,,,8,-10
90,35,B3,1.2,b,24,,,,9,3
90,35,B4,2.5,c,10,,,,10,-15
90,35,B5,1.7,b,17,,,,11,-10
90,35,B6,1.5,b,20,,,,12,-8
90,35,C1,1.7,c,14,,,,13,-16
90,35,C2,1.2,c,9,,,,14,-12
90,35,C3,2.4,b,19,,,,15,-11
90,35,C4,1.5,c,27,,,,16,-3
90,35,C5,1.7,d,15,,,,17,-8
90,35,C6,2.3,c,15,,,,18,-12
90,35,D1,2.3,d,24,,,,19,-9
90,35,D2,1.5,d,20,,,,20,-3
90,35,D3,2.4,c,11,,,,21,-6
90,35,D4,2.5,d,17,,,,22,-12
90,35,D5,1.2,d,25,,,,23,3
90,35,D6,2.4,d,26,,,,24,-9
