Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
1140,25,2.4,A,1,1,0,
1140,25,2.4,A,1,2,0,
1140,25,2.4,A,1,3,0,
1140,25,2.5,A,2,1,5,
1140,25,2.5,A,2,2,1,
1140,25,2.5,A,2,3,0,
1140,25,1.2,A,3,1,4,
1140,25,1.2,A,3,2,5,
1140,25,1.2,A,3,3,4,
1140,25,2.3,A,4,1,2,
1140,25,2.3,A,4,2,4,
1140,25,2.3,A,4,3,2,
1140,25,2.5,A,5,4,6,
1140,25,2.5,A,5,5,2,
1140,25,2.5,A,5,6,1,
1140,25,1.7,A,6,1,1,
1140,25,1.7,A,6,2,1,
1140,25,1.7,A,6,3,1,
1140,25,2.3,B,1,4,0,
1140,25,2.3,B,1,5,1,
1140,25,2.3,B,1,6,0,
1140,25,1.5,B,2,1,12,
1140,25,1.5,B,2,2,8,
1140,25,1.5,B,2,3,6,
1140,25,1.2,B,3,4,3,
1140,25,1.2,B,3,5,4,
1140,25,1.2,B,3,6,6,
1140,25,2.5,B,4,7,0,
1140,25,2.5,B,4,8,0,
1140,25,2.5,B,4,9,2,
1140,25,1.7,B,5,4,4,
1140,25,1.7,B,5,5,2,
1140,25,1.7,B,5,6,0,
1140,25,1.5,B,6,4,4,
1140,25,1.5,B,6,5,4,
1140,25,1.5,B,6,6,6,
1140,25,1.7,C,1,7,0,
1140,25,1.7,C,1,8,0,
1140,25,1.7,C,1,9,1,
1140,25,1.2,C,2,7,5,
1140,25,1.2,C,2,8,6,
1140,25,1.2,C,2,9,13,
1140,25,2.4,C,3,4,0,
1140,25,2.4,C,3,5,0,
1140,25,2.4,C,3,6,1,
1140,25,1.5,C,4,7,5,
1140,25,1.5,C,4,8,13,
1140,25,1.5,C,4,9,12,
1140,25,1.7,C,5,10,0,
1140,25,1.7,C,5,11,1,
1140,25,1.7,C,5,12,1,
1140,25,2.3,C,6,7,0,
1140,25,2.3,C,6,8,0,
1140,25,2.3,C,6,9,0,
1140,25,2.3,D,1,10,3,
1140,25,2.3,D,1,11,3,
1140,25,2.3,D,1,12,4,
1140,25,1.5,D,2,10,2,
1140,25,1.5,D,2,11,8,
1140,25,1.5,D,2,12,3,
1140,25,2.4,D,3,7,6,
1140,25,2.4,D,3,8,7,
1140,25,2.4,D,3,9,14,
1140,25,2.5,D,4,10,3,
1140,25,2.5,D,4,11,2,
1140,25,2.5,D,4,12,2,
1140,25,1.2,D,5,10,7,
1140,25,1.2,D,5,11,6,
1140,25,1.2,D,5,12,10,
1140,25,2.4,D,6,10,0,
1140,25,2.4,D,6,11,0,
1140,25,2.4,D,6,12,2,
